GEO_ID,NAME,DP05_0033E
36047017400,"Census Tract 174, Kings County, New York",2184
36047017500,"Census Tract 175, Kings County, New York",0
36047017600,"Census Tract 176, Kings County, New York",2563
36047017700,"Census Tract 177, Kings County, New York",0
36047017800,"Census Tract 178, Kings County, New York",3215
36047017900,"Census Tract 179, Kings County, New York",4318
36047018000,"Census Tract 180, Kings County, New York",3352
36047018100,"Census Tract 181, Kings County, New York",3875
36047018200,"Census Tract 182, Kings County, New York",3668
36047018300,"Census Tract 183, Kings County, New York",2721
36047018400,"Census Tract 184, Kings County, New York",2769
36047018501,"Census Tract 185.01, Kings County, New York",4600
36047018600,"Census Tract 186, Kings County, New York",2249
36047018700,"Census Tract 187, Kings County, New York",1623
36047018800,"Census Tract 188, Kings County, New York",2702
36047019000,"Census Tract 190, Kings County, New York",4635
36047019100,"Census Tract 191, Kings County, New York",2788
36047019200,"Census Tract 192, Kings County, New York",3076
36047019300,"Census Tract 193, Kings County, New York",6010
36047019400,"Census Tract 194, Kings County, New York",3889
36047019500,"Census Tract 195, Kings County, New York",3787
36047019600,"Census Tract 196, Kings County, New York",3822
36047019700,"Census Tract 197, Kings County, New York",3615
36047019800,"Census Tract 198, Kings County, New York",1791
36047019900,"Census Tract 199, Kings County, New York",3504
36047020000,"Census Tract 200, Kings County, New York",2427
36047020100,"Census Tract 201, Kings County, New York",3808
36047020200,"Census Tract 202, Kings County, New York",1910
36047020300,"Census Tract 203, Kings County, New York",1825
36047020400,"Census Tract 204, Kings County, New York",2111
36047020500,"Census Tract 205, Kings County, New York",2918
36047020600,"Census Tract 206, Kings County, New York",2417
36047020700,"Census Tract 207, Kings County, New York",4521
36047020800,"Census Tract 208, Kings County, New York",3253
36047021000,"Census Tract 210, Kings County, New York",4153
36047021100,"Census Tract 211, Kings County, New York",1893
36047021200,"Census Tract 212, Kings County, New York",4525
36047021300,"Census Tract 213, Kings County, New York",4279
36047021400,"Census Tract 214, Kings County, New York",2252
36047021500,"Census Tract 215, Kings County, New York",5544
36047021600,"Census Tract 216, Kings County, New York",4769
36047021700,"Census Tract 217, Kings County, New York",3962
36047021800,"Census Tract 218, Kings County, New York",3449
36047021900,"Census Tract 219, Kings County, New York",3568
36047022000,"Census Tract 220, Kings County, New York",4381
36047022100,"Census Tract 221, Kings County, New York",3991
36047022200,"Census Tract 222, Kings County, New York",3943
36047022400,"Census Tract 224, Kings County, New York",5792
36047022600,"Census Tract 226, Kings County, New York",2040
36047022700,"Census Tract 227, Kings County, New York",3654
36047022800,"Census Tract 228, Kings County, New York",3687
36047022900,"Census Tract 229, Kings County, New York",3841
36047023000,"Census Tract 230, Kings County, New York",4171
36047023100,"Census Tract 231, Kings County, New York",3607
36047023200,"Census Tract 232, Kings County, New York",5406
36047023300,"Census Tract 233, Kings County, New York",5252
36047023400,"Census Tract 234, Kings County, New York",4578
36047023500,"Census Tract 235, Kings County, New York",4316
36047023600,"Census Tract 236, Kings County, New York",6000
36047023800,"Census Tract 238, Kings County, New York",3857
36047024000,"Census Tract 240, Kings County, New York",4562
36047024100,"Census Tract 241, Kings County, New York",2707
36047024200,"Census Tract 242, Kings County, New York",2872
36047024300,"Census Tract 243, Kings County, New York",4165
36047024400,"Census Tract 244, Kings County, New York",3829
